,County,WeekStartDate,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate
28,Snohomish,5/31/2021,38,304,342,48.86,89,100,88,50,12,3,0,595,71.64
29,Spokane,5/31/2021,50,395,445,63.57,94,131,113,66,35,6,0,822,157.29
30,Stevens,5/31/2021,5,21,26,3.71,11,5,8,2,0,0,0,51,111.06
31,Thurston,5/31/2021,28,102,130,18.57,33,38,31,16,8,4,0,280,96.22
32,Wahkiakum,5/31/2021,0,8,8,1.14,1,0,4,2,0,1,0,18,427.55
33,Walla Walla,5/31/2021,4,49,53,7.57,23,13,12,3,2,0,0,122,194.95
34,Whatcom,5/31/2021,17,151,168,24.0,51,34,30,31,16,6,0,262,114.91
35,Whitman,5/31/2021,0,22,22,3.14,9,5,1,5,2,0,0,43,85.18
36,Yakima,5/31/2021,13,79,92,13.14,21,29,25,12,4,1,0,207,80.17
38,Adams,5/24/2021,2,15,17,2.43,6,3,3,1,2,2,0,24,117.36
39,Asotin,5/24/2021,3,6,9,1.29,0,5,0,0,2,2,0,11,48.59
40,Benton,5/24/2021,12,105,117,16.71,44,25,28,11,9,0,0,259,125.91
41,Chelan,5/24/2021,27,10,37,5.29,12,16,2,5,2,0,0,67,84.11
42,Clallam,5/24/2021,2,10,12,1.71,1,3,4,2,1,1,0,29,37.78
43,Clark,5/24/2021,104,351,455,65.0,95,150,103,67,28,12,0,850,170.27
44,Cowlitz,5/24/2021,27,92,119,17.0,21,39,36,15,6,2,0,222,200.9
45,Douglas,5/24/2021,15,2,17,2.43,5,3,2,4,3,0,0,42,96.0
46,Ferry,5/24/2021,4,3,7,1.0,2,3,0,0,2,0,0,17,214.92
47,Franklin,5/24/2021,3,64,67,9.57,17,23,13,6,8,0,0,122,126.09
48,Garfield,5/24/2021,1,0,1,0.14,0,0,1,0,0,0,0,2,89.89
